"","State","Date","Deaths","Confirmed","Recovered","Active","Population","Deaths.per.capita","Confirmed.per.capita","Active.per.capita","Name"
"1","Alabama",2020-05-21,529,13288,0,12759,4903185,0.000107889055787208,0.00271007518582309,0.00260218613003588,"Alabama"
"2","Alabama",2020-06-08,718,20925,0,20207,4903185,0.000146435429215908,0.00426763420103463,0.00412119877181873,"Alabama"
"3","Alabama",2020-07-15,1211,59067,0,57856,4903185,0.000246982318635744,0.0120466594672646,0.0117996771486289,"Alabama"
"4","Alabama",2020-04-12,93,3563,0,3470,4903185,1.89672631157095e-05,0.00072667052130401,0.0007077032581883,"Alabama"
"5","Alabama",2020-06-27,919,35083,0,34164,4903185,0.000187429191433731,0.0071551450740692,0.00696771588263547,"Alabama"
"6","Alabama",2020-05-01,289,7294,0,7005,4903185,5.89412800047316e-05,0.00148760448565575,0.00142866320565102,"Alabama"
"7","Alabama",2020-03-30,10,899,0,889,4903185,2.03949065760317e-06,0.000183350210118525,0.000181310719460922,"Alabama"
"8","Alabama",2020-04-08,66,2328,0,2262,4903185,1.34606383401809e-05,0.000474793425090018,0.000461332786749837,"Alabama"
"9","Alabama",2020-05-26,580,15650,0,15070,4903185,0.000118290458140984,0.00319180287914896,0.00307351242100798,"Alabama"
"10","Alabama",2020-07-18,1286,65234,0,63948,4903185,0.000262278498567768,0.0133044133558085,0.0130421348572408,"Alabama"
"11","Alabama",2020-04-22,196,5593,0,5397,4903185,3.99740168890221e-05,0.00114068712479745,0.00110071310790843,"Alabama"
"12","Alabama",2020-06-26,907,34183,0,33276,4903185,0.000184981802644608,0.00697159091488492,0.00678660911224031,"Alabama"
"13","Alabama",2020-04-20,163,5079,0,4916,4903185,3.32436977189317e-05,0.00103585730499665,0.00100261360727772,"Alabama"
"14","Alabama",2020-04-13,99,3734,0,3635,4903185,2.01909575102714e-05,0.000761545811549024,0.000741354854038752,"Alabama"
"15","Alabama",2020-07-16,1230,61088,0,59858,4903185,0.00025085735088519,0.0124588405291662,0.0122079831782811,"Alabama"
"16","Alabama",2020-03-28,4,694,0,690,4903185,8.15796263041268e-07,0.00014154065163766,0.000140724855374619,"Alabama"
"17","Alabama",2020-07-17,1265,63091,0,61826,4903185,0.000257995568186801,0.0128673505078842,0.0126093549396974,"Alabama"
"18","Alabama",2020-06-10,744,21989,0,21245,4903185,0.000151738104925676,0.00448463600700361,0.00433289790207794,"Alabama"
"19","Alabama",2020-03-26,1,517,0,516,4903185,2.03949065760317e-07,0.000105441666998084,0.000105237717932324,"Alabama"
"20","Alabama",2020-05-11,403,10164,0,9761,4903185,8.21914735014078e-05,0.00207293830438786,0.00199074683088645,"Alabama"
